crop,patent_number,patent_abstract,patent_date,patent_title,patent_type,patent_year,Applicant,app_number,app_id,appcit_app_number,assignee_state_fips,assignee_county_fips,assignee_country,assignee_longitude,assignee_latitude,assignee_city,assignee_total_num_patents,citedby_patent_number,citedby_patent_title,cpc_category,cpc_subsection_title,cpc_group_title,cpc_group_id,cpc_sequence,cpc_subgroup_id,cpc_subgroup_title,cpc_total_num_assignees,cpc_total_num_patents,examiner_id,lawyer_id,nber_category_id,nber_category_title,nber_subcategory_id,nber_subcategory_title,nber_total_num_assignees,nber_total_num_patents,abstract_title,patent_decade,assignee_organization_namestandard,assignee_key_id,inventor_key_id,crop_shortname,crop_type,crop_type2,patent_type_orig,url,keras_predict,valueuse_ifcpc_A01H6,ifcpc_A01H6_known,.pred_1,.pred_class,group
potato,9125409,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.",2015-09-08,"Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",utility,2015,National University Corporation Kanazawa University,13059864,13/059864,NA,NA,NA,JP] NA,139.384] NA,35.3729] NA,Samukawa] NA,103] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/16,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one or more oxygen or sulfur atoms as the only ring hetero atoms-with one hetero atom-six-membered rings-with oxygen as the ring hetero atom",23008] 6372,149455] 38713,gxwjfp3ww6wlrmqc32sgwq9gv] wcqycc8ihjnyizjobmdpbijgp,f5f4d7da60724d3fa1cb19620feb4712,NA,NA,NA,NA,NA,NA,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.. Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",2020,,,,potato,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9125409,train,0,known,,,63
potato,9125409,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.",2015-09-08,"Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",utility,2015,National University Corporation Kanazawa University,13059864,13/059864,NA,NA,NA,JP] NA,139.384] NA,35.3729] NA,Samukawa] NA,103] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/16,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one or more oxygen or sulfur atoms as the only ring hetero atoms-with one hetero atom-six-membered rings-with oxygen as the ring hetero atom",23008] 6372,149455] 38713,gxwjfp3ww6wlrmqc32sgwq9gv] wcqycc8ihjnyizjobmdpbijgp,f5f4d7da60724d3fa1cb19620feb4712,NA,NA,NA,NA,NA,NA,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.. Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",2020,,,,potato,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9125409,train,0,known,,,63
potato,9125409,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.",2015-09-08,"Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",utility,2015,National University Corporation Kanazawa University,13059864,13/059864,NA,NA,NA,JP] NA,139.384] NA,35.3729] NA,Samukawa] NA,103] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/16,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one or more oxygen or sulfur atoms as the only ring hetero atoms-with one hetero atom-six-membered rings-with oxygen as the ring hetero atom",23008] 6372,149455] 38713,gxwjfp3ww6wlrmqc32sgwq9gv] wcqycc8ihjnyizjobmdpbijgp,f5f4d7da60724d3fa1cb19620feb4712,NA,NA,NA,NA,NA,NA,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.. Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",2020,,,,potato,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9125409,train,0,known,,,63
potato,9125409,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.",2015-09-08,"Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",utility,2015,National University Corporation Kanazawa University,13059864,13/059864,NA,NA,NA,JP] NA,139.384] NA,35.3729] NA,Samukawa] NA,103] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/16,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one or more oxygen or sulfur atoms as the only ring hetero atoms-with one hetero atom-six-membered rings-with oxygen as the ring hetero atom",23008] 6372,149455] 38713,gxwjfp3ww6wlrmqc32sgwq9gv] wcqycc8ihjnyizjobmdpbijgp,f5f4d7da60724d3fa1cb19620feb4712,NA,NA,NA,NA,NA,NA,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.. Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",2020,,,,potato,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9125409,train,0,known,,,63
potato,9125409,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.",2015-09-08,"Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",utility,2015,National University Corporation Kanazawa University,13059864,13/059864,NA,NA,NA,JP] NA,139.384] NA,35.3729] NA,Samukawa] NA,103] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/16,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one or more oxygen or sulfur atoms as the only ring hetero atoms-with one hetero atom-six-membered rings-with oxygen as the ring hetero atom",23008] 6372,149455] 38713,gxwjfp3ww6wlrmqc32sgwq9gv] wcqycc8ihjnyizjobmdpbijgp,f5f4d7da60724d3fa1cb19620feb4712,NA,NA,NA,NA,NA,NA,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.. Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",2020,,,,potato,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9125409,train,0,known,,,63
potato,9125409,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.",2015-09-08,"Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",utility,2015,National University Corporation Kanazawa University,13059864,13/059864,NA,NA,NA,JP] NA,139.384] NA,35.3729] NA,Samukawa] NA,103] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/16,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one or more oxygen or sulfur atoms as the only ring hetero atoms-with one hetero atom-six-membered rings-with oxygen as the ring hetero atom",23008] 6372,149455] 38713,gxwjfp3ww6wlrmqc32sgwq9gv] wcqycc8ihjnyizjobmdpbijgp,f5f4d7da60724d3fa1cb19620feb4712,NA,NA,NA,NA,NA,NA,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.. Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",2020,,,,potato,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9125409,train,0,known,,,63
potato,9125409,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.",2015-09-08,"Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",utility,2015,National University Corporation Kanazawa University,13059864,13/059864,NA,NA,NA,JP] NA,139.384] NA,35.3729] NA,Samukawa] NA,103] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/16,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one or more oxygen or sulfur atoms as the only ring hetero atoms-with one hetero atom-six-membered rings-with oxygen as the ring hetero atom",23008] 6372,149455] 38713,gxwjfp3ww6wlrmqc32sgwq9gv] wcqycc8ihjnyizjobmdpbijgp,f5f4d7da60724d3fa1cb19620feb4712,NA,NA,NA,NA,NA,NA,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.. Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",2020,,,,potato,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9125409,train,0,known,,,63
potato,9125409,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.",2015-09-08,"Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",utility,2015,National University Corporation Kanazawa University,13059864,13/059864,NA,NA,NA,JP] NA,139.384] NA,35.3729] NA,Samukawa] NA,103] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/16,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one or more oxygen or sulfur atoms as the only ring hetero atoms-with one hetero atom-six-membered rings-with oxygen as the ring hetero atom",23008] 6372,149455] 38713,gxwjfp3ww6wlrmqc32sgwq9gv] wcqycc8ihjnyizjobmdpbijgp,f5f4d7da60724d3fa1cb19620feb4712,NA,NA,NA,NA,NA,NA,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.. Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",2020,,,,potato,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9125409,train,0,known,,,63
potato,9125409,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.",2015-09-08,"Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",utility,2015,National University Corporation Kanazawa University,13059864,13/059864,NA,NA,NA,JP] NA,139.384] NA,35.3729] NA,Samukawa] NA,103] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/16,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one or more oxygen or sulfur atoms as the only ring hetero atoms-with one hetero atom-six-membered rings-with oxygen as the ring hetero atom",23008] 6372,149455] 38713,gxwjfp3ww6wlrmqc32sgwq9gv] wcqycc8ihjnyizjobmdpbijgp,f5f4d7da60724d3fa1cb19620feb4712,NA,NA,NA,NA,NA,NA,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.. Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",2020,,,,potato,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9125409,train,0,known,,,63
potato,9125409,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.",2015-09-08,"Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",utility,2015,National University Corporation Kanazawa University,13059864,13/059864,NA,NA,NA,JP] NA,139.384] NA,35.3729] NA,Samukawa] NA,103] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/16,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one or more oxygen or sulfur atoms as the only ring hetero atoms-with one hetero atom-six-membered rings-with oxygen as the ring hetero atom",23008] 6372,149455] 38713,gxwjfp3ww6wlrmqc32sgwq9gv] wcqycc8ihjnyizjobmdpbijgp,f5f4d7da60724d3fa1cb19620feb4712,NA,NA,NA,NA,NA,NA,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.. Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",2020,,,,potato,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9125409,test,0,known,7.38521557650529e-05,0,63
tomato,9125409,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.",2015-09-08,"Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",utility,2015,"MITSUI CHEMICALS AGRO, INC.",13059864,13/059864,NA,NA,NA,JP] NA,139.759] NA,35.6828] NA,Tokyo] NA,49] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/16,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one or more oxygen or sulfur atoms as the only ring hetero atoms-with one hetero atom-six-membered rings-with oxygen as the ring hetero atom",23008] 6372,149455] 38713,gxwjfp3ww6wlrmqc32sgwq9gv] wcqycc8ihjnyizjobmdpbijgp,f5f4d7da60724d3fa1cb19620feb4712,NA,NA,NA,NA,NA,NA,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.. Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",2020,,,,tomato,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9125409,train,0,known,,,63
tomato,9125409,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.",2015-09-08,"Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",utility,2015,"MITSUI CHEMICALS AGRO, INC.",13059864,13/059864,NA,NA,NA,JP] NA,139.759] NA,35.6828] NA,Tokyo] NA,49] NA,NA,NA,inventional,Agriculture; forestry; animal husbandry; hunting; trapping; fishing,"Preservation of bodies of humans or animals or plants or parts thereof ; biocides, e.g. as disinfectants, as pesticides or as herbicides ; pest repellants or attractants; plant growth regulators",A01N,NA,A01N43/16,"Biocides, pest repellants or attractants, or plant growth regulators containing heterocyclic compounds -having rings with one or more oxygen or sulfur atoms as the only ring hetero atoms-with one hetero atom-six-membered rings-with oxygen as the ring hetero atom",23008] 6372,149455] 38713,gxwjfp3ww6wlrmqc32sgwq9gv] wcqycc8ihjnyizjobmdpbijgp,f5f4d7da60724d3fa1cb19620feb4712,NA,NA,NA,NA,NA,NA,"A plant disease control agent comprising at least one member selected from the group consisting of saccharides and substances each having a bactericidal and/or fungicidal activity. The plant disease control agents are effective for the control of cucumber, grape and cabbage downy mildew, damping-off in seedlings caused by Pythium spp, cucumber and barley powdery mildew, wheat stem rust, potato and tomato late blight, and others.. Plant disease control agent comprising D-tagatose as active ingredient, and plant disease control method",2020,,,,tomato,specialty,specialty,Patent,https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/9125409,train,0,known,,,63
